custom_id,persona_pid,game_id,treatment_name,metric,matched_value,candidate_uniform_value,diff
no_persona_pgg_match__game_2KKC9nMd8nRXfgH5G__g021,no_persona,2KKC9nMd8nRXfgH5G,VALIDATION_19_C,mean_contribution_rate,0.41603448275862065,0.45948275862068966,-0.04344827586206901
no_persona_pgg_match__game_2TDnnb4wn9rwy3CYZ__g026,no_persona,2TDnnb4wn9rwy3CYZ,VALIDATION_2_T,mean_contribution_rate,0.6345000000000001,0.5037499999999999,0.13075000000000014
no_persona_pgg_match__game_2TquMDieEiixty8AN__g002,no_persona,2TquMDieEiixty8AN,VALIDATION_0_T,mean_contribution_rate,1.0,0.9166666666666669,0.08333333333333315
no_persona_pgg_match__game_2khRAszouj8vP8ZfP__g019,no_persona,2khRAszouj8vP8ZfP,VALIDATION_18_C,mean_contribution_rate,0.9673913043478262,0.9565217391304348,0.010869565217391353
no_persona_pgg_match__game_3EG5RaDj4z7hkT2JD__g004,no_persona,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,mean_contribution_rate,0.7933333333333333,0.7277777777777776,0.0655555555555557
no_persona_pgg_match__game_3EQGxadfbmAKaACgZ__g032,no_persona,3EQGxadfbmAKaACgZ,VALIDATION_5_T,mean_contribution_rate,0.9916666666666666,0.9166666666666667,0.07499999999999984
no_persona_pgg_match__game_3v9ji6wNY7sXHe8cM__g029,no_persona,3v9ji6wNY7sXHe8cM,VALIDATION_4_C,mean_contribution_rate,0.7374999999999999,0.4285714285714286,0.30892857142857133
no_persona_pgg_match__game_5R7YRmti4R5GiJKpi__g036,no_persona,5R7YRmti4R5GiJKpi,VALIDATION_7_T,mean_contribution_rate,0.9894736842105263,0.9613157894736842,0.02815789473684205
no_persona_pgg_match__game_5mhtM66ewYHNxSp4q__g001,no_persona,5mhtM66ewYHNxSp4q,VALIDATION_0_C,mean_contribution_rate,0.8333333333333335,0.6833333333333335,0.15000000000000002
no_persona_pgg_match__game_65crAkEscRbHNJXbW__g003,no_persona,65crAkEscRbHNJXbW,VALIDATION_10_C,mean_contribution_rate,0.6458333333333333,0.7083333333333333,-0.0625
