custom_id,persona_pid,game_id,treatment_name,player,player_key,match_rank,match_probability,is_top1,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate
no_persona_pgg_match__game_5mhtM66ewYHNxSp4q__g001,no_persona,5mhtM66ewYHNxSp4q,VALIDATION_0_C,GORILLA,5mhtM66ewYHNxSp4q::GORILLA,1,0.5,True,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.164965809277259,0.16666666666666666,0.8333333333333334,-0.42857142857142866,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_5mhtM66ewYHNxSp4q__g001,no_persona,5mhtM66ewYHNxSp4q,VALIDATION_0_C,DUCK,5mhtM66ewYHNxSp4q::DUCK,2,0.3,False,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.164965809277259,0.16666666666666666,0.8333333333333334,-0.42857142857142866,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_5mhtM66ewYHNxSp4q__g001,no_persona,5mhtM66ewYHNxSp4q,VALIDATION_0_C,DOG,5mhtM66ewYHNxSp4q::DOG,3,0.2,False,16.666666666666668,0.8333333333333334,20.0,1.0,20.0,1.0,8.164965809277259,0.16666666666666666,0.8333333333333334,0.4285714285714286,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_2TquMDieEiixty8AN__g002,no_persona,2TquMDieEiixty8AN,VALIDATION_0_T,RABBIT,2TquMDieEiixty8AN::RABBIT,1,0.5,True,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,8,1.3333333333333333,0.6666666666666666,0.0,0,0.0,0.0,0,0.0,5.0,3,0.3333333333333333,1.0,1,0.16666666666666666
no_persona_pgg_match__game_2TquMDieEiixty8AN__g002,no_persona,2TquMDieEiixty8AN,VALIDATION_0_T,SLOTH,2TquMDieEiixty8AN::SLOTH,2,0.3,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,3,0.5,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_2TquMDieEiixty8AN__g002,no_persona,2TquMDieEiixty8AN,VALIDATION_0_T,GORILLA,2TquMDieEiixty8AN::GORILLA,3,0.2,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,3,0.5,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,4.0,2,0.3333333333333333,1.0,1,0.16666666666666666
no_persona_pgg_match__game_65crAkEscRbHNJXbW__g003,no_persona,65crAkEscRbHNJXbW,VALIDATION_10_C,GORILLA,65crAkEscRbHNJXbW::GORILLA,1,0.5,True,10.833333333333334,0.5416666666666666,10.0,0.5,20.0,1.0,6.645800679125629,0.16666666666666666,0.16666666666666666,0.17857142857142855,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_65crAkEscRbHNJXbW__g003,no_persona,65crAkEscRbHNJXbW,VALIDATION_10_C,DUCK,65crAkEscRbHNJXbW::DUCK,2,0.3,False,11.666666666666666,0.5833333333333334,10.0,0.5,0.0,0.0,6.831300510639732,0.16666666666666666,0.16666666666666666,-0.14285714285714282,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_65crAkEscRbHNJXbW__g003,no_persona,65crAkEscRbHNJXbW,VALIDATION_10_C,SLOTH,65crAkEscRbHNJXbW::SLOTH,3,0.2,False,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
no_persona_pgg_match__game_3EG5RaDj4z7hkT2JD__g004,no_persona,3EG5RaDj4z7hkT2JD,VALIDATION_10_T,SLOTH,3EG5RaDj4z7hkT2JD::SLOTH,1,0.6,True,15.0,0.75,20.0,1.0,10.0,0.5,8.366600265340756,0.16666666666666666,0.6666666666666666,-0.7857142857142858,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
