treatment_name,experiment_code,role,visibility,schema_type,metric,generated_value,human_value,abs_error,generated_n,human_n
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,check_rate,0.96,0.8,0.15999999999999992,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,act_rate,0.94,0.82,0.12,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,mean_return_pct,40.82,38.38,2.4399999999999977,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_act,0.92,0.72,0.20000000000000007,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_checked_no_act,0.04,0.08,0.04,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_act,0.02,0.1,0.08,50,50
E1_ROLE_A_HIDDEN,E1,A,hidden,role_a_check,pattern_unchecked_no_act,0.02,0.1,0.08,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,check_rate,0.96,0.62,0.33999999999999997,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,act_rate,0.84,0.9,0.06000000000000005,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,mean_return_pct,42.66,41.74,0.9199999999999946,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_act,0.8,0.6,0.20000000000000007,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_checked_no_act,0.16,0.02,0.14,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_act,0.04,0.3,0.26,50,50
E1_ROLE_A_OBSERVABLE,E1,A,observable,role_a_check,pattern_unchecked_no_act,0.0,0.08,0.08,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_act,5.36,5.76,0.39999999999999947,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_send_if_no_act,3.54,3.26,0.28000000000000025,50,50
E1_ROLE_B_HIDDEN,E1,B,hidden,role_b_hidden_check,mean_action_premium,1.82,2.5,0.6799999999999999,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_without_check,5.62,7.0,1.38,50,50
E1_ROLE_B_OBSERVABLE,E1,B,observable,role_b_observable_check,mean_send_if_act_after_check,5.86,6.68,0.8199999999999994,50,50
