metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.074,0.060000000000000026
check_rate,8,0.16749999999999998,0.11999999999999994
fast_rate,2,0.12999999999999998,0.12999999999999998
mean_action_premium,5,1.424,1.32
mean_action_premium_after_check,4,0.7350000000000001,0.5500000000000003
mean_action_premium_fast,1,0.21999999999999997,0.21999999999999997
mean_action_premium_slow,1,0.94,0.94
mean_action_premium_without_check,4,1.275,1.18
mean_fast_premium_if_act,1,1.18,1.18
mean_fast_premium_if_no_act,1,0.45999999999999996,0.45999999999999996
mean_process_premium_if_act,4,0.81,0.71
mean_process_premium_if_no_act,4,0.61,0.48
mean_return_pct,10,4.2559999999999985,3.0899999999999963
mean_send_if_act,5,0.43199999999999994,0.39999999999999947
mean_send_if_act_after_check,4,0.4650000000000001,0.4700000000000002
mean_send_if_act_fast,1,0.17999999999999972,0.17999999999999972
mean_send_if_act_slow,1,1.0,1.0
mean_send_if_act_without_check,4,1.0250000000000001,1.02
mean_send_if_no_act,5,1.096,1.2200000000000006
mean_send_if_no_act_after_check,4,0.45999999999999996,0.2999999999999998
mean_send_if_no_act_fast,1,0.40000000000000036,0.40000000000000036
mean_send_if_no_act_slow,1,0.0600000000000005,0.0600000000000005
mean_send_if_no_act_without_check,4,0.9700000000000001,0.8500000000000001
pattern_checked_act,8,0.10750000000000004,0.1
pattern_checked_no_act,8,0.10500000000000001,0.1
pattern_fast_act,2,0.03,0.03
pattern_fast_no_act,2,0.10000000000000002,0.10000000000000002
pattern_slow_act,2,0.08000000000000002,0.08000000000000002
pattern_slow_no_act,2,0.21,0.21
pattern_unchecked_act,8,0.0775,0.05
pattern_unchecked_no_act,8,0.1,0.07999999999999999
