feature,prompt_usage,direction_in_feature,question_id,question_ref,block_name,question_text,item_index,item_text
big_five_extraversion,self_report_social_adaptability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,1,Is talkative
big_five_extraversion,self_report_social_adaptability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,11,Is full of energy
big_five_extraversion,self_report_social_adaptability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,16,Generates a lot of enthusiasm
big_five_extraversion,self_report_social_adaptability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,26,Has an assertive personality
big_five_extraversion,self_report_social_adaptability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,36,"Is outgoing, sociable"
big_five_extraversion,self_report_social_adaptability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,6,Is reserved
big_five_extraversion,self_report_social_adaptability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,21,Tends to be quiet
big_five_extraversion,self_report_social_adaptability,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,31,"Is sometimes shy, inhibited"
big_five_agreeableness,self_report_cooperation_orientation,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,7,Is helpful and unselfish with others
big_five_agreeableness,self_report_cooperation_orientation,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,17,Has a forgiving nature
big_five_agreeableness,self_report_cooperation_orientation,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,22,Is generally trusting
big_five_agreeableness,self_report_cooperation_orientation,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,32,Is considerate and kind to almost everyone
big_five_agreeableness,self_report_cooperation_orientation,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,42,Likes to cooperate with others
big_five_agreeableness,self_report_cooperation_orientation,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,2,Tends to find fault with others
big_five_agreeableness,self_report_cooperation_orientation,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,12,Starts quarrels with others
big_five_agreeableness,self_report_cooperation_orientation,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,27,Can be cold and aloof
big_five_agreeableness,self_report_cooperation_orientation,reverse,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,37,Is sometimes rude to others
big_five_conscientiousness,self_report_behavioral_stability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,3,Does a thorough job
big_five_conscientiousness,self_report_behavioral_stability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,13,Is a reliable worker
big_five_conscientiousness,self_report_behavioral_stability,positive,QID25,Personality::QID25,Personality ,Here are a number of characteristics that may or may not apply to you. Please indicate next to each statement the extent to which you agree or disagree with that statement. I see myself as someone who...,28,Perseveres until the task is finished
