metric_family,case_group,role_slice,game,metric,distance_kind,score,generated_n,human_n
payoff_distribution_distance,Benchmark,both,Sender,sender_expected_payoff,wasserstein_1d,0.18566430653894211,98,100
payoff_distribution_distance,Benchmark,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.024479383590170697,98,100
payoff_distribution_distance,Benchmark,both,PD,pd_expected_payoff,wasserstein_1d,0.9915035401915868,98,100
payoff_distribution_distance,Benchmark,both,SH,sh_expected_payoff,wasserstein_1d,0.180170762182424,98,100
payoff_distribution_distance,Benchmark,both,C,c_expected_payoff,wasserstein_1d,0.5008788004997918,98,100
payoff_distribution_distance,Benchmark,both,Proposer,proposer_expected_payoff,wasserstein_1d,1.5574406497292796,98,100
payoff_distribution_distance,Benchmark,both,Responder,responder_expected_payoff,wasserstein_1d,1.3992253227821743,98,100
payoff_distribution_distance,Benchmark,no,Sender,sender_expected_payoff,wasserstein_1d,0.1777509371095377,98,100
payoff_distribution_distance,Benchmark,no,Receiver,receiver_expected_payoff,wasserstein_1d,0.0241107871720117,98,100
payoff_distribution_distance,Benchmark,no,PD,pd_expected_payoff,wasserstein_1d,0.7837775926697209,98,100
payoff_distribution_distance,Benchmark,no,SH,sh_expected_payoff,wasserstein_1d,0.1898000832986255,98,100
payoff_distribution_distance,Benchmark,no,C,c_expected_payoff,wasserstein_1d,0.5489837567680134,98,100
payoff_distribution_distance,Benchmark,no,Proposer,proposer_expected_payoff,wasserstein_1d,3.0134069137859223,98,100
payoff_distribution_distance,Benchmark,no,Responder,responder_expected_payoff,wasserstein_1d,1.6419616826322363,98,100
payoff_distribution_distance,Benchmark,yes,Sender,sender_expected_payoff,wasserstein_1d,0.19357767596834657,98,100
payoff_distribution_distance,Benchmark,yes,Receiver,receiver_expected_payoff,wasserstein_1d,0.048029987505206234,98,100
payoff_distribution_distance,Benchmark,yes,PD,pd_expected_payoff,wasserstein_1d,1.1916659725114536,98,100
payoff_distribution_distance,Benchmark,yes,SH,sh_expected_payoff,wasserstein_1d,0.28580174927113705,98,100
payoff_distribution_distance,Benchmark,yes,C,c_expected_payoff,wasserstein_1d,0.4527738442315702,98,100
payoff_distribution_distance,Benchmark,yes,Proposer,proposer_expected_payoff,wasserstein_1d,0.3641482715535195,98,100
payoff_distribution_distance,Benchmark,yes,Responder,responder_expected_payoff,wasserstein_1d,1.1557392753019575,98,100
payoff_distribution_distance,AIR,both,Sender,sender_expected_payoff,wasserstein_1d,0.17857142857142844,98,100
payoff_distribution_distance,AIR,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.0003769262807163711,98,100
