persona_id,umap_x,umap_y
2CpmMrTnRYQhD69qN|DTZZoihgn3RAp6nBo,8.6326065,1.7341249
2CpmMrTnRYQhD69qN|F5KawmecqZFsCNyFk,11.394304,-0.70102984
2CpmMrTnRYQhD69qN|bQirT5AvqT5wycWYj,8.2585,-0.008055114
2CpmMrTnRYQhD69qN|be9dLqkhDp6wZjbBo,4.997452,-1.7068195
2CpmMrTnRYQhD69qN|dgD9YndT5WFPZRgzi,10.259091,2.2623174
2CpmMrTnRYQhD69qN|hZRwsfYigrXwGJa4j,3.8372457,0.50846374
2HvMCoKkzNvhYKJgp|2tCNuFycZiP5mKtyF,10.291885,1.7182368
2HvMCoKkzNvhYKJgp|3ec6gmS6weNqpvJAh,2.8557706,0.65000755
2HvMCoKkzNvhYKJgp|5jxF87MmgjFhTymm9,10.240021,1.7157751
2HvMCoKkzNvhYKJgp|8DctDA748b28zuZ3u,4.9156485,-2.377138
2HvMCoKkzNvhYKJgp|A2pEcsP9CEJNQFgDu,4.4642715,-3.0509992
2HvMCoKkzNvhYKJgp|NsiTAiRip94MCD7B6,9.737997,-1.9243929
2HvMCoKkzNvhYKJgp|PCTGddKWraBR8mWTj,3.2534263,-1.0209928
2HvMCoKkzNvhYKJgp|S9ALoeCJKATXnvC7C,4.6468773,-1.5922824
2HvMCoKkzNvhYKJgp|WBLkAFy3kSHSJBTAm,10.207971,2.1962266
2HvMCoKkzNvhYKJgp|X6DDHjThocMtNvpB6,4.7223625,-1.0579455
2HvMCoKkzNvhYKJgp|YqdtGcdjtoSgCdsu8,9.826745,-1.5688038
2HvMCoKkzNvhYKJgp|bLMxfumFzRf3vRjX2,9.340362,0.05383084
2HvMCoKkzNvhYKJgp|dieqovizTAnjXTSJZ,10.502946,-1.5615442
2HvMCoKkzNvhYKJgp|fc5HALJgiFC3dWHhj,4.811413,-1.3188766
2HvMCoKkzNvhYKJgp|npQ9NQ58E53hB7N5C,4.051447,-0.5575246
2HvMCoKkzNvhYKJgp|qsnrpRFMyBD7xK9xm,9.260847,1.6309698
2YFxArCtvNNrLdMEh|8AS2QXCdR3pePLr8B,6.183024,0.830987
2YFxArCtvNNrLdMEh|f5zTYPzJ5jvGdR39Z,5.7877793,1.6157521
2YFxArCtvNNrLdMEh|mqg2PdSZhRpHJYLrW,11.370768,-0.6520603
2YFxArCtvNNrLdMEh|rgXeqn2NT2JwqxZ64,10.1892605,1.4821405
2fKfFJWpm9wfoPMfx|7Q8u5GwmqYwqaXYDs,10.010413,2.374381
2fKfFJWpm9wfoPMfx|7ez3SYi3tNx2Bfbei,10.505787,-1.6159847
2fKfFJWpm9wfoPMfx|CffvC6LTFjNNpgvZC,3.842186,-1.5263916
2fKfFJWpm9wfoPMfx|HPBpMdpchhh5cz4sv,11.039217,0.04096633
2fKfFJWpm9wfoPMfx|SPF9vPF5hRJWzAdJa,9.277712,1.2681957
2fKfFJWpm9wfoPMfx|oBmTWSk5vCYru9Mcd,3.5684614,-1.7068017
2fKfFJWpm9wfoPMfx|pCKKPgH9rENJJXNgK,2.4377198,0.5668321
2fKfFJWpm9wfoPMfx|q3g6KwabjgBtCjJkc,4.1338663,-0.38927186
2fKfFJWpm9wfoPMfx|vbn9iN4G7DZAMbdnp,10.528617,-1.6082051
2kZ3jKdHmB57javWy|8hZfpp9ZYxgQnC4W2,6.8678827,-1.9264162
2kZ3jKdHmB57javWy|hoNbTgmYK3R2HtYnP,9.973015,1.5844566
2kZ3jKdHmB57javWy|tju44RWZEghPjZJYr,5.7007565,-2.4739182
2kZ3jKdHmB57javWy|uQqhvaMfYLCaM9h9g,5.792684,-3.8775349
2kZ3jKdHmB57javWy|wxwCSxoBMnnyPJGJG,7.5536113,-1.839378
2kZ3jKdHmB57javWy|yrtT4gQpFJRmx2ZTS,9.178249,-1.6073219
2r5xvh4mLkmbyTPuW|5nHzFqz4u4vvpFTbW,8.821628,-1.9339763
2r5xvh4mLkmbyTPuW|EhWKqX4CqLc3ibSzy,6.3011727,0.77379173
2r5xvh4mLkmbyTPuW|Gj56ZRACcYwgcQ8rX,10.509729,-0.6734223
2r5xvh4mLkmbyTPuW|LfhxA6PsupMxSZEhF,8.850432,-2.3181577
2r5xvh4mLkmbyTPuW|QKXs7ogDhHa26SPuu,5.437645,-2.9912531
2r5xvh4mLkmbyTPuW|T3wMpaCL5MisTWx55,10.655062,1.1663108
2r5xvh4mLkmbyTPuW|fSA7z4MC4ipCwo68C,10.651855,0.8778865
2r5xvh4mLkmbyTPuW|n2YEHuZd3p4ZMAmv6,9.007537,-1.9112309
2r5xvh4mLkmbyTPuW|vvcPXqvweELCPFN85,6.951819,-2.0301783
33TyenkkqmAAHQSom|BKmFeWvHvGNtz7AMX,5.950415,1.5577782
33TyenkkqmAAHQSom|Ckteup7i4djCkuA9e,8.701176,1.780382
33TyenkkqmAAHQSom|Ju59MDJzvi3tvsKsZ,3.5024235,-2.0662918
33TyenkkqmAAHQSom|NomfvqqFReX6YdWt2,4.8334656,-3.054933
33TyenkkqmAAHQSom|WXmp6zK8DnNdT4kfZ,9.111239,-2.1656895
33TyenkkqmAAHQSom|aTedxSvE2BSqp8DcG,10.696044,2.1030352
33TyenkkqmAAHQSom|aWKs66yRscSN2XrGN,5.071824,-2.545053
33TyenkkqmAAHQSom|bBLaz2vGcF2rt3Jcb,4.805656,-2.1559725
33TyenkkqmAAHQSom|bibiuSci5uRAjTBng,4.898393,-0.2593038
33TyenkkqmAAHQSom|dAuWm6qkiaQ6YqRbE,4.4587812,-1.917701
33TyenkkqmAAHQSom|eHpzc7SmiuAbep39m,9.403022,-0.9545622
33TyenkkqmAAHQSom|i5LgAzzz3JneY4eEZ,4.4675627,-2.3306732
33TyenkkqmAAHQSom|u8giBwzJTsSAoJAxz,6.3843994,0.8819646
33TyenkkqmAAHQSom|xKv58uf4nSh3P3rF4,3.744642,0.8241492
3p9Tuh3Z59cdmPNA7|5A4ShTAsoQK5CGWJj,6.035935,0.007914144
3p9Tuh3Z59cdmPNA7|AcnLgaaDtGBNDSSFF,2.4484458,-0.95707434
3p9Tuh3Z59cdmPNA7|ZbgKFFo4EsJqrBSGa,5.641794,-2.585489
3p9Tuh3Z59cdmPNA7|eDkdR3KGpSc4YfyF3,7.0970407,0.10083113
3p9Tuh3Z59cdmPNA7|jZqDckxEMBYuxBvft,6.794987,-0.93143517
3p9Tuh3Z59cdmPNA7|ohyMWtv53vQEb3QFs,6.1758485,-3.09684
3sZW8GmBWg97noGXL|N8a7KTWJk3snSGxSv,4.880659,-0.036680184
3sZW8GmBWg97noGXL|XBsJwxCtWmKyKZnzg,9.785239,-1.306305
3sZW8GmBWg97noGXL|XWcXjZYs3WRn7yr7P,6.4356093,0.969982
3sZW8GmBWg97noGXL|eJwhAsxn49tpq9WxB,10.281228,1.7374095
3sZW8GmBWg97noGXL|eKusaLLsNdssQuLY3,3.728902,-1.4006941
3sZW8GmBWg97noGXL|fk7DEbzMFoeY2jFmm,4.81936,-2.622119
3sZW8GmBWg97noGXL|q84j9JT6ThEEEoNzA,11.03658,-0.2068088
3sZW8GmBWg97noGXL|szhm2rZLbGZkZgDi6,4.6295843,-3.1812673
3sZW8GmBWg97noGXL|udWzEBWK9zQFswm48,9.53457,-0.94464415
3tST6tuakPSj9tKTJ|4E42AzhADNEXPrhWt,10.154645,1.8032562
3tST6tuakPSj9tKTJ|5keCBFAdcX8fXzcmh,9.782976,1.7271794
3tST6tuakPSj9tKTJ|6SHNjdpvz9q8jLTNp,5.0040927,-1.3058101
3tST6tuakPSj9tKTJ|9nPH5dRCTuvk6QypC,4.244226,-1.927445
3tST6tuakPSj9tKTJ|Aemmd3HNCJQ5dQWxN,10.1765175,-1.9701939
3tST6tuakPSj9tKTJ|BhXXBzbsBLcepyeMB,10.588296,-1.541835
3tST6tuakPSj9tKTJ|Bor62MB22jAQSevkX,9.231237,-1.0215291
3tST6tuakPSj9tKTJ|HbSTBd8AD5zu76sfN,10.216178,2.1542466
3tST6tuakPSj9tKTJ|QujaKrGtgSZL9qHmb,10.139143,2.2799726
3tST6tuakPSj9tKTJ|X8nw86qLRcxXy6F4M,4.9964404,-1.7936336
3tST6tuakPSj9tKTJ|YZERvGGDByERFmq3J,10.196956,2.2610629
3tST6tuakPSj9tKTJ|dQtsyQR9jsKrqWqDd,10.461198,-0.075565144
3tST6tuakPSj9tKTJ|pGvbduhyEYSxon7uG,5.253894,-1.5392612
3uYh9GbzKBb7ZadHf|8wTpxFv49dfTfhnE3,10.456879,-0.6726435
3uYh9GbzKBb7ZadHf|Hzjpw3RP7MYtj5ciw,6.119022,-3.4415581
3uYh9GbzKBb7ZadHf|KQGJeAzabom74EAoo,8.850059,-0.8834674
3uYh9GbzKBb7ZadHf|YvS4A5zc87CEv9JqD,2.757183,-1.0164105
3uYh9GbzKBb7ZadHf|jyFNsXDsoAoC7nhaC,8.505003,-0.9421481
3uYh9GbzKBb7ZadHf|kWSnLBN9FBMQBJ4ys,9.279136,-1.8178517
3uqZPGxnY38PPCreu|5orJSbeZm5Qo6Nf2c,9.064023,-2.3763855
3uqZPGxnY38PPCreu|9LB69vvE5YJ8FTABn,6.880577,-0.5473796
3uqZPGxnY38PPCreu|CDdfDBS3TJuwo5sdT,5.8284736,-3.0698779
3uqZPGxnY38PPCreu|EBB5atRiWmHKS6tBq,5.7570214,-2.8294666
3uqZPGxnY38PPCreu|Ju3dxdJ7tkNLYWE6D,6.1638894,-1.0805448
3uqZPGxnY38PPCreu|QYXyzaFFBFotLBssR,6.0315866,-3.3133364
3uqZPGxnY38PPCreu|Tp8oQGvpodpWCxH4M,2.819005,-1.3236605
3uqZPGxnY38PPCreu|hCZFZSeJ2Jjj4oqhY,6.7051816,0.65995383
3zSNGrLvJJYZhmW2p|FKriQtdFBTrWrfGBH,7.1494555,-0.54166824
3zSNGrLvJJYZhmW2p|Hzpx2jqhYSZdif4ZN,5.9613943,1.1838741
3zSNGrLvJJYZhmW2p|LbA9WeT3GTZMSNzNY,6.3282833,0.8101285
3zSNGrLvJJYZhmW2p|Mm6mgT6wHK3JH9kjZ,6.2309985,-2.0059478
3zSNGrLvJJYZhmW2p|PFhmYJ38xLnXPkaM8,7.116789,-1.5054445
3zSNGrLvJJYZhmW2p|hTdGbCFuP3T9rYtNd,10.61857,1.6799057
3zSNGrLvJJYZhmW2p|kbxi5o3HFQXMGo5oX,6.6575966,-2.0187821
3zSNGrLvJJYZhmW2p|nyi8ePouSTATiREKQ,7.9297614,-0.86937875
3zSNGrLvJJYZhmW2p|pZ23AK9eSGXF7kbub,5.5987825,-2.6206045
3zSNGrLvJJYZhmW2p|qjKeypvMTCWMtaeRg,10.544805,1.5555921
3zSNGrLvJJYZhmW2p|tF4Dus9NMgschoP7L,7.8847265,-1.9429938
3zSNGrLvJJYZhmW2p|zJd7D32NZfC6rjKSJ,6.4152727,-2.6673346
4Menw33JLbdtzSvug|7m8GgZcSDPpiGtu7Q,11.158389,-0.2805843
4Menw33JLbdtzSvug|ECyY6RJL7xsZmJcZy,5.189458,-0.97239256
4Menw33JLbdtzSvug|FKuMFB4zi8ekBPnZF,5.8505926,0.422949
4Menw33JLbdtzSvug|QzzkxSSxwrNBFkdcq,10.686652,-0.27685127
4Menw33JLbdtzSvug|RaWhpevajiCWcjtYd,8.398868,0.35853544
4Menw33JLbdtzSvug|TaJQBuPufXkWZhmN4,3.80137,0.75768495
4Menw33JLbdtzSvug|XnjCBRwp52oLMcNTh,5.2910843,1.1186907
4Menw33JLbdtzSvug|dwTAozr8scqjx5evW,4.8489065,-2.8002422
4Menw33JLbdtzSvug|oFSk487cqv3tc54Sv,5.5580945,-0.25538763
4Menw33JLbdtzSvug|qzp8RyXNHPzFLMT55,9.934095,-1.3929664
4Z5uDYPcFsmMAnBJf|2zj2Qk9kmEu38LcJT,9.1217785,-1.9021417
4Z5uDYPcFsmMAnBJf|5rhN945uHvjCg8w2p,8.79422,-1.1430881
4Z5uDYPcFsmMAnBJf|8jSfSZWk5i4EejQBa,6.2582335,-1.6590469
4Z5uDYPcFsmMAnBJf|9Yg6AsY5zPPfompXq,6.7463126,-1.5839093
4Z5uDYPcFsmMAnBJf|H36NKQ2ZF8myF5c3a,2.4790924,-0.32050043
4Z5uDYPcFsmMAnBJf|LJTJvtYkxWvRD5fqP,10.141061,-1.7202154
4Z5uDYPcFsmMAnBJf|QDWtgTdWgBPwpn897,6.41922,0.877261
4Z5uDYPcFsmMAnBJf|SixqSafHmEgkEQi9W,6.5872254,-3.162775
4Z5uDYPcFsmMAnBJf|TzB5CfRi6HZpFfi4j,4.661051,0.98508984
4Z5uDYPcFsmMAnBJf|XapD84w5S9DedSpNY,8.225089,-1.3475363
4Z5uDYPcFsmMAnBJf|YbKArS3qM2Xpmy32a,3.4715257,-2.275106
4Z5uDYPcFsmMAnBJf|ado5nqWyycfo2E6Yp,6.4601436,-1.8647385
4Z5uDYPcFsmMAnBJf|bWKDiiKFsMkEyEEYc,6.1535306,-1.7577007
4Z5uDYPcFsmMAnBJf|bvJBu6hpBkzGgwSXN,6.6896663,-0.2234241
4Z5uDYPcFsmMAnBJf|gEGGvnybrjtcx726q,6.194339,-0.87439555
4Z5uDYPcFsmMAnBJf|jvJ3zAdipfTnBfqCi,2.573701,-0.3316932
4Z5uDYPcFsmMAnBJf|nE4ku9WPBGT2Wbkt8,3.168263,-0.7000004
4Z5uDYPcFsmMAnBJf|w9T3tcvXrSpm2sNTt,5.166932,1.0480794
4Z5uDYPcFsmMAnBJf|wRraedvynMNyJ3x7c,8.835539,-0.66507655
4Z5uDYPcFsmMAnBJf|wkDv5qjbPAwJTuSuA,6.362297,-3.1393485
4jSXooYhn8K6Cucgv|2YnqAfE2FSnFPJjnN,9.066011,1.320766
4jSXooYhn8K6Cucgv|BzjpsaRjqTZWNod2G,10.488751,-0.37576756
4jSXooYhn8K6Cucgv|EMRDDM4KagfGrFyhb,4.306879,-2.8524513
4jSXooYhn8K6Cucgv|W477XeF8g6ySxM89F,4.1253605,-0.7205681
4jSXooYhn8K6Cucgv|mKuKPrjr3urdkzja3,3.2103248,0.82538307
4jSXooYhn8K6Cucgv|scrBLGtZNt9KHHWWC,5.6212387,0.14547046
4jSXooYhn8K6Cucgv|svqaBDv5mt4tYJq3i,9.077125,-0.1575061
4jSXooYhn8K6Cucgv|swomPrsZH2HWdQNtw,5.018482,-0.90691125
4jSXooYhn8K6Cucgv|wtJrhmYkpRuryg3du,3.6690233,-1.3953334
4jSXooYhn8K6Cucgv|yGgvz3P2nE476FEDd,2.336915,0.3405528
4nKD5eDXT2JfQEFC2|F87ewJKbJdsdrg5Ha,6.807418,-2.7817512
4nKD5eDXT2JfQEFC2|LQiG35LCxfCusLoaH,8.72953,-1.5830578
4nKD5eDXT2JfQEFC2|LysM5MbDovTmE9dKe,6.122749,-2.7901447
4nKD5eDXT2JfQEFC2|McW5SNbKayq2yESYS,2.606559,-0.19837159
4nKD5eDXT2JfQEFC2|PBdpHrKtxHQErpwJJ,6.4829783,-1.8554344
4nKD5eDXT2JfQEFC2|QX4LnDtuTK6MFXq96,8.770925,-1.8563697
4nKD5eDXT2JfQEFC2|Rc9mK92qAFR7Y7eDc,6.931635,-3.1693068
