question_id,question_human,variable_code_human,variable_label_human,cond1_label_human,cond2_label_human,left_role_human,right_role_human,left_treatments_human,right_treatments_human,direction_human,cond1_mean_human,cond1_sd_human,cond1_n_human,cond2_mean_human,cond2_sd_human,cond2_n_human,effect_human,supports_direction_human,question_model,variable_code_model,variable_label_model,cond1_label_model,cond2_label_model,left_role_model,right_role_model,left_treatments_model,right_treatments_model,direction_model,cond1_mean_model,cond1_sd_model,cond1_n_model,cond2_mean_model,cond2_sd_model,cond2_n_model,effect_model,supports_direction_model,effect_abs_error,cond1_mean_abs_error,cond2_mean_abs_error,direction_match,run_name,run_label
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6442857142857144,0.1694417038368085,50,0.7092380952380951,0.1440681100846937,50,-0.0649523809523807,True,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.3358600583090378,0.1926858489752922,49,0.7591836734693876,0.1169214904140163,49,-0.4233236151603498,True,0.358371234207969,0.3084256559766765,0.0499455782312925,True,baseline_gpt_5_mini,Baseline
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4328571428571429,0.3226200460041101,100,0.3728571428571429,0.2934697776777444,100,0.06,True,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.5242857142857141,0.1464976256418416,100,0.4757142857142857,0.1723579903866775,100,0.0485714285714284,True,0.0114285714285715,0.0914285714285711,0.1028571428571427,True,baseline_gpt_5_mini,Baseline
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6865714285714286,0.1699664730804308,50,0.7092380952380951,0.1440681100846937,50,-0.0226666666666665,True,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.8287619047619046,0.0729063840154593,50,0.7591836734693876,0.1169214904140163,49,0.0695782312925169,False,0.0922448979591834,0.1421904761904759,0.0499455782312925,False,baseline_gpt_5_mini,Baseline
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.5107777777777777,0.1792716781677923,50,0.5436666666666666,0.1910507537974687,50,-0.0328888888888889,True,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.4698888888888888,0.2276328004966111,50,0.3251700680272109,0.1775465149480146,49,0.1447188208616779,False,0.1776077097505669,0.0408888888888888,0.2184965986394557,False,baseline_gpt_5_mini,Baseline
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6461904761904762,0.1931906916573661,50,0.6442857142857144,0.1694417038368085,50,0.0019047619047618,True,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.3717201166180758,0.2243016544803708,49,0.3358600583090378,0.1926858489752922,49,0.0358600583090379,True,0.033955296404276,0.2744703595724004,0.3084256559766765,True,baseline_gpt_5_mini,Baseline
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3671428571428571,0.3074388653817655,100,0.4385714285714286,0.3081086530329832,100,-0.0714285714285715,False,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.5485714285714285,0.1608060504414739,100,0.4514285714285714,0.1474304059306202,100,0.097142857142857,True,0.1685714285714285,0.1814285714285713,0.0128571428571428,False,baseline_gpt_5_mini,Baseline
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.707904761904762,0.1738347759123257,50,0.6865714285714286,0.1699664730804308,50,0.0213333333333334,True,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.8252380952380953,0.0696490345536341,50,0.8287619047619046,0.0729063840154593,50,-0.0035238095238092,False,0.0248571428571426,0.1173333333333332,0.1421904761904759,False,baseline_gpt_5_mini,Baseline
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.5411111111111111,0.2368326310653035,50,0.5107777777777777,0.1792716781677923,50,0.0303333333333334,True,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.4716666666666666,0.243756117042457,50,0.4698888888888888,0.2276328004966111,50,0.0017777777777777,True,0.0285555555555556,0.0694444444444444,0.0408888888888888,True,baseline_gpt_5_mini,Baseline
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6442857142857144,0.1694417038368085,50,0.7092380952380951,0.1440681100846937,50,-0.0649523809523807,True,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.3715393133997785,0.2281683150992214,43,0.7900332225913622,0.1274868758888731,43,-0.4184939091915837,True,0.3535415282392029,0.2727464008859358,0.0807951273532671,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4328571428571429,0.3226200460041101,100,0.3728571428571429,0.2934697776777444,100,0.06,True,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.4242857142857142,0.1456508930379559,100,0.3985714285714285,0.1886219268603653,100,0.0257142857142856,True,0.0342857142857143,0.0085714285714287,0.0257142857142855,True,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only
