tag,q1_age,q3_age,cluster_id,cluster_title,share_young_q1,share_old_q4,old_minus_young_pp
COMMUNICATION,29.0,45.0,13,Silent Cooperators in Group Dynamics,0.062370062370062374,0.10321100917431193,4.084094680424956
COMMUNICATION,29.0,45.0,14,Silent Observers in Communication Dynamics,0.05197505197505198,0.08944954128440367,3.7474489309351697
COMMUNICATION,29.0,45.0,12,Silent Observers in Social Dynamics,0.05405405405405406,0.08027522935779817,2.6221175303744113
COMMUNICATION,29.0,45.0,9,Sparsely Communicative Yet Cooperative Personas,0.06652806652806653,0.08944954128440367,2.292147475633714
COMMUNICATION,29.0,45.0,10,Minimal Communicators in Group Dynamics,0.033264033264033266,0.05504587155963303,2.1781838295599765
COMMUNICATION,29.0,45.0,6,Affiliative Communicators in Cooperative Settings,0.07068607068607069,0.0871559633027523,1.646989261668161
COMMUNICATION,29.0,45.0,4,Cooperative Communication in Group Dynamics,0.05405405405405406,0.06880733944954129,1.4753285395487232
COMMUNICATION,29.0,45.0,11,Low-Engagement Cooperative Players,0.06444906444906445,0.0779816513761468,1.3532586927082342
COMMUNICATION,29.0,45.0,7,Cooperative Communication in Group Dynamics,0.07484407484407485,0.08256880733944955,0.7724732495374698
COMMUNICATION,29.0,45.0,8,Cooperative Communication in Social Settings,0.056133056133056136,0.05504587155963303,-0.10871845734231056
COMMUNICATION,29.0,45.0,5,Sociable Players Embrace Lighthearted Cooperation,0.08108108108108109,0.052752293577981654,-2.832878750309943
COMMUNICATION,29.0,45.0,1,Cooperative Norms and Group Dynamics,0.07484407484407485,0.04357798165137615,-3.12660931926987
COMMUNICATION,29.0,45.0,3,Playful Social Engagement in Group Dynamics,0.07484407484407485,0.0389908256880734,-3.585324915600145
COMMUNICATION,29.0,45.0,2,Engaging Cooperation in Group Settings,0.0997920997920998,0.05733944954128441,-4.245265025081539
COMMUNICATION,29.0,45.0,0,Engaging Social Dynamics in Cooperative Settings,0.08108108108108109,0.01834862385321101,-6.273245722787007
CONTRIBUTION,29.0,46.0,5,Dynamic Contributors in Cooperative Settings,0.06236786469344609,0.10173160173160173,3.936373703815564
CONTRIBUTION,29.0,46.0,2,Patterns of Opportunistic Contribution Behavior,0.04439746300211417,0.08333333333333333,3.893587033121916
CONTRIBUTION,29.0,46.0,3,Patterns of Unconditional Free-Riding Behavior,0.02854122621564482,0.06277056277056277,3.4229336554917946
CONTRIBUTION,29.0,46.0,4,High Contributors with Conditional Flexibility,0.06976744186046512,0.0854978354978355,1.5730393637370388
CONTRIBUTION,29.0,46.0,1,Volatile Contributors: Patterns of Cooperation,0.07610993657505286,0.08874458874458875,1.2634652169535896
CONTRIBUTION,29.0,46.0,13,Unwavering Full Cooperation in Groups,0.0507399577167019,0.06168831168831169,1.0948353971609786
CONTRIBUTION,29.0,46.0,6,Cooperative Contributors with Occasional Deviations,0.06659619450317125,0.0735930735930736,0.6996879089902347
CONTRIBUTION,29.0,46.0,0,Moderate Contributors in Cooperative Settings,0.05813953488372093,0.06493506493506493,0.6795530051344
CONTRIBUTION,29.0,46.0,8,High Contributors with Strategic Defections,0.06236786469344609,0.048701298701298704,-1.3666565992147384
CONTRIBUTION,29.0,46.0,9,Unconditional High Contributors in Group Settings,0.080338266384778,0.06168831168831169,-1.8649954696466318
CONTRIBUTION,29.0,46.0,7,High Contributors in Cooperative Settings,0.08456659619450317,0.06385281385281386,-2.0713782341689315
CONTRIBUTION,29.0,46.0,12,Unwavering Full Cooperation in Groups,0.06871035940803383,0.045454545454545456,-2.3255813953488373
CONTRIBUTION,29.0,46.0,10,Unconditional High Contributors in Cooperative Settings,0.07928118393234672,0.05303030303030303,-2.6250880902043687
CONTRIBUTION,29.0,46.0,11,Unwavering Commitment to Group Contribution,0.06976744186046512,0.04220779220779221,-2.7559649652672906
CONTRIBUTION,29.0,46.0,14,Unconditional Full Cooperation in Group Settings,0.09830866807610994,0.06277056277056277,-3.553810530554717
PUNISHMENT,30.0,46.0,1,The Reluctant Non-Punisher,0.0425531914893617,0.07855626326963906,3.600307178027736
PUNISHMENT,30.0,46.0,3,The Reluctant Non-Punisher Profile,0.05222437137330754,0.07430997876857749,2.208560739526995
PUNISHMENT,30.0,46.0,8,Selective Punishment in Cooperative Settings,0.05029013539651837,0.06794055201698514,1.7650416620466762
PUNISHMENT,30.0,46.0,11,Selective Punishment in Group Dynamics,0.05415860735009671,0.07006369426751592,1.5905086917419209
PUNISHMENT,30.0,46.0,4,Reluctance to Use Punishment Mechanisms,0.09671179883945841,0.11252653927813164,1.5814740438673232
PUNISHMENT,30.0,46.0,14,The Dynamics of Costly Punishment,0.058027079303675046,0.06794055201698514,0.9913472713310091
PUNISHMENT,30.0,46.0,9,Selective Punishment in Cooperative Settings,0.059961315280464215,0.06794055201698514,0.7979236736520922
PUNISHMENT,30.0,46.0,5,Reluctance to Use Punishment in Groups,0.07736943907156674,0.08280254777070063,0.5433108699133895
PUNISHMENT,30.0,46.0,7,Selective Punishment in Group Dynamics,0.058027079303675046,0.059447983014861996,0.14209037111869507
PUNISHMENT,30.0,46.0,13,Costly Punishers: Enforcing Contribution Norms,0.07736943907156674,0.07643312101910828,-0.09363180524584597
PUNISHMENT,30.0,46.0,2,Non-Punitive Behavior in Group Dynamics,0.07543520309477757,0.06794055201698514,-0.749465107779243
PUNISHMENT,30.0,46.0,12,The Dynamics of Costly Punishment,0.06769825918762089,0.05307855626326964,-1.4619702924351246
PUNISHMENT,30.0,46.0,0,The Reluctance to Punish in Groups,0.08704061895551257,0.06794055201698514,-1.9100066938527436
PUNISHMENT,30.0,46.0,6,Selective Punishment in Cooperative Settings,0.06576402321083172,0.02335456475583864,-4.240945845499308
PUNISHMENT,30.0,46.0,10,Selective Punishment in Cooperative Groups,0.07736943907156674,0.029723991507430998,-4.7645447564135734
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,9,Indifferent Players in Cooperative Settings,0.04148471615720524,0.07929515418502203,3.7810438027816793
RESPONSE_TO_OTHERS_OUTCOME,29.0,46.0,7,Behavioral Detachment in Cooperative Dynamics,0.06550218340611354,0.09911894273127753,3.3616759325163987
