tag,education_level,n_level,cluster_id,cluster_title,share_level,share_overall_known_education,level_minus_overall_pp
COMMUNICATION,bachelor,733,1,Cooperative Norms and Group Dynamics,0.09140518417462483,0.0630841121495327,2.8321072025092127
COMMUNICATION,bachelor,733,11,Low-Engagement Cooperative Players,0.08185538881309687,0.07067757009345794,1.1177818719638923
COMMUNICATION,bachelor,733,4,Cooperative Communication in Group Dynamics,0.07776261937244201,0.06658878504672897,1.1173834325713048
COMMUNICATION,bachelor,733,6,Affiliative Communicators in Cooperative Settings,0.07503410641200546,0.07359813084112149,0.1435975570883971
COMMUNICATION,bachelor,733,9,Sparsely Communicative Yet Cooperative Personas,0.06548431105047749,0.06483644859813084,0.06478624523466453
COMMUNICATION,bachelor,733,13,Silent Cooperators in Group Dynamics,0.08049113233287858,0.08177570093457943,-0.12845686017008556
COMMUNICATION,bachelor,733,3,Playful Social Engagement in Group Dynamics,0.0572987721691678,0.05899532710280374,-0.16965549336359353
COMMUNICATION,bachelor,733,7,Cooperative Communication in Group Dynamics,0.07366984993178717,0.07651869158878505,-0.28488416569978775
COMMUNICATION,bachelor,733,2,Engaging Cooperation in Group Settings,0.07639836289222374,0.0794392523364486,-0.30408894442248563
COMMUNICATION,bachelor,733,8,Cooperative Communication in Social Settings,0.05320600272851296,0.05782710280373832,-0.46211000752253567
COMMUNICATION,bachelor,733,5,Sociable Players Embrace Lighthearted Cooperation,0.054570259208731244,0.06074766355140187,-0.6177404342670625
COMMUNICATION,bachelor,733,0,Engaging Social Dynamics in Cooperative Settings,0.04638472032742155,0.053154205607476634,-0.6769485280055082
COMMUNICATION,bachelor,733,10,Minimal Communicators in Group Dynamics,0.04229195088676671,0.04906542056074766,-0.6773469673980952
COMMUNICATION,bachelor,733,14,Silent Observers in Communication Dynamics,0.06548431105047749,0.07301401869158879,-0.75297076411113
COMMUNICATION,bachelor,733,12,Silent Observers in Social Dynamics,0.058663028649386086,0.07067757009345794,-1.201454144407186
COMMUNICATION,high_school,546,5,Sociable Players Embrace Lighthearted Cooperation,0.07692307692307693,0.06074766355140187,1.6175413371675058
COMMUNICATION,high_school,546,3,Playful Social Engagement in Group Dynamics,0.07509157509157509,0.05899532710280374,1.609624798877135
COMMUNICATION,high_school,546,8,Cooperative Communication in Social Settings,0.06776556776556776,0.05782710280373832,0.9938464961829443
COMMUNICATION,high_school,546,9,Sparsely Communicative Yet Cooperative Personas,0.07326007326007326,0.06483644859813084,0.8423624661942422
COMMUNICATION,high_school,546,14,Silent Observers in Communication Dynamics,0.08058608058608059,0.07301401869158879,0.7572061894491805
COMMUNICATION,high_school,546,10,Minimal Communicators in Group Dynamics,0.054945054945054944,0.04906542056074766,0.5879634384307282
COMMUNICATION,high_school,546,0,Engaging Social Dynamics in Cooperative Settings,0.05860805860805861,0.053154205607476634,0.5453853000581974
COMMUNICATION,high_school,546,2,Engaging Cooperation in Group Settings,0.08241758241758242,0.0794392523364486,0.2978330081133823
COMMUNICATION,high_school,546,6,Affiliative Communicators in Cooperative Settings,0.07509157509157509,0.07359813084112149,0.14934442504535989
COMMUNICATION,high_school,546,13,Silent Cooperators in Group Dynamics,0.07326007326007326,0.08177570093457943,-0.8515627674506171
COMMUNICATION,high_school,546,7,Cooperative Communication in Group Dynamics,0.06593406593406594,0.07651869158878505,-1.0584625654719113
COMMUNICATION,high_school,546,4,Cooperative Communication in Group Dynamics,0.054945054945054944,0.06658878504672897,-1.1643730101674021
COMMUNICATION,high_school,546,12,Silent Observers in Social Dynamics,0.05860805860805861,0.07067757009345794,-1.2069511485399338
COMMUNICATION,high_school,546,11,Low-Engagement Cooperative Players,0.056776556776556776,0.07067757009345794,-1.390101331690117
