text,umap_x,umap_y,cluster_id,cluster_title,cluster_intro,cluster_size
"Their communication is sparse but socially attuned. They respond politely to greetings and acknowledge successful coordination with a brief, positive signal. Their tone is friendly and light; they use a small expressive cue (a simple emotive symbol) once cooperation stabilizes, which reads as contentment or relief at the emerging norm. They do not initiate detailed strategic proposals, but they do make at least one pointed, critical remark aimed at those not fully cooperating, implying awareness of and mild frustration with perceived hypocrisy or free-riding. This criticism is framed in a casual, somewhat joking style rather than overt aggression, suggesting they prefer soft social pressure over confrontational shaming. They are reactive rather than leading in the chat: they respond after others talk about strategies and contributions, and they do not attempt to micro-coordinate specific contribution levels or reward patterns. Their engagement style is low-frequency but responsive, with a mix of politeness and light norm enforcement through comments rather than detailed argument.",-0.3302851,0.72394633,6,Affiliative Communicators in Cooperative Settings,This group exhibits a communication style characterized by minimal yet supportive interactions. They align with cooperative norms and respond positively to group dynamics without initiating discussions or leading strategies. Their behavior reflects a preference for maintaining harmony and reinforcing group cohesion.,129
"The player communicates very little and only engages once the group has already established a norm and called attention to their behavior. They respond briefly and directly when someone questions their contribution, using a short reassurance that implicitly acknowledges group expectations and seeks validation. They do not initiate coordination proposals, explanations, or persuasion; they let others lead the norm-setting discussion. Their tone is cooperative and non-confrontational; there is no sign of irritation or defensiveness, and they appear willing to align with the group once attention is on them. Overall, they adopt a low-visibility, reactive communication style: they monitor the chat, intervene minimally, and only speak when socially prompted.",0.48439798,-0.23767866,11,Low-Engagement Cooperative Players,"This group of players exhibits minimal communication while maintaining a cooperative stance. They engage sparingly, often responding to others rather than initiating discussions, and their tone remains polite and non-confrontational. Their contributions are typically brief and focused on reinforcing group norms rather than leading or challenging the group dynamics.",121
"Their tone is friendly, polite, and deferential. They initiate a greeting once they notice the chat and respond in a socially appropriate, upbeat way, fitting a cooperative social style rather than a hostile or confrontational one. They later express explicit apologies and self-blame for previous misaligned actions, indicating concern about others’ perceptions and a desire to repair group trust. They use chat primarily for social alignment and clarification rather than for persuasion or strategic manipulation. When other players advocate for full contributions, the player does not lead or argue; instead, they express that they had misunderstood and then quietly adjust behavior. This indicates a responsive rather than directive communication style. They are attentive and reactive to group feedback. When another player indirectly criticizes low contributors and confusion emerges about who is at fault, the focal player queries their own status (“I am ?”) and later explains that they had reversed the meaning of the decision. This suggests they monitor how others interpret actions and care about being seen as cooperative. They do not engage in explicit coordination proposals of their own but willingly endorse and follow others’ proposals once they understand them. They show no signs of trolling, sarcasm, or hostility. The overall communication style is conciliatory, self-correcting, and socially sensitive, with a mild tendency toward embarrassment when they realize earlier mistakes.",-0.38049066,-0.70202464,8,Cooperative Communication in Social Settings,"This cluster highlights individuals who exhibit a friendly and cooperative communication style within group dynamics. They engage minimally but positively, often using light humor and casual tones to foster a supportive atmosphere. Their behavior reflects a preference for social harmony over confrontation, emphasizing group cohesion and collective participation.",100
"Their tone is friendly, brief, and cooperative. They engage early with a simple greeting and then use the chat primarily to support coordination around full contributions. They explicitly endorse the “everyone contributes everything” strategy and later clarify how the decision interface should be interpreted, indicating that they are both attentive to others’ confusion and willing to help correct it. They are responsive to social dynamics: when another player seems to imply that some birds are not cooperating, they defend their own cooperative status without aggression, asking for clarification in a neutral way. They express positive reinforcement when the group finally reaches high, synchronized contributions again, celebrating the restored cooperation with a short appreciative comment. Their communication style is low‑volume but targeted: they speak when it can help coordination, clear up misunderstandings, or affirm group success, rather than chatting for its own sake. They do not pressure or shame specific individuals; instead, they talk in general terms about what “we” should do and about how the interface should read. This suggests a mild, prosocial, norm‑setting style rather than a confrontational or punitive one. They respond to others’ apologies and confusion by offering constructive guidance, not blame. Overall, they engage but do not dominate the conversation, and they use language to align the group around cooperative norms.",-0.9818564,-0.6787362,2,Engaging Cooperation in Group Settings,"This persona cluster emphasizes friendly and cooperative communication styles that foster group coordination. Participants actively encourage full contributions while maintaining a light and humorous tone, creating an inclusive atmosphere. Their proactive approach to establishing cooperation norms enhances group dynamics and overall engagement.",139
"Their communication style is friendly, informal, and socially engaged. They initiate conversation, respond to others, and use light humor and small typos/playful corrections, indicating comfort in the social environment. They do not appear hostile or confrontational; even when they point out another’s low contribution, they frame it casually and later affirm that things are “good” once the behavior aligns with expectations. They clearly attempt to coordinate the group. They explicitly advocate for everyone to contribute the full amount and repeat this idea more than once, framing high contributions as beneficial to all. This shows a preference for explicit norm-setting rather than silent adjustment. They also acknowledge when their own earlier message might have been mistaken or misdirected, suggesting some self-awareness and willingness to correct themselves. They respond to others’ confusion with mild guidance. When another player admits to misunderstanding the mechanics, they do not scold; instead they continue to promote the “all in” idea and later accept the corrected behavior. This indicates they see chat as a tool to align expectations rather than to punish. Their engagement is steady but not dominant. They speak multiple times, but do not flood the chat or try to micromanage every round. They show enough responsiveness to follow the emerging group mood; when others celebrate improved cooperation, they affirm it succinctly rather than pushing further demands. Overall, their style is cooperative, norm-promoting, and socially lighthearted.",-0.9167661,-1.0043932,2,Engaging Cooperation in Group Settings,"This persona cluster emphasizes friendly and cooperative communication styles that foster group coordination. Participants actively encourage full contributions while maintaining a light and humorous tone, creating an inclusive atmosphere. Their proactive approach to establishing cooperation norms enhances group dynamics and overall engagement.",139
"This player communicates rarely and succinctly. Their tone is polite, low-key, and non-confrontational. They do not initiate strong coordination drives or reprimands; instead, they acknowledge others’ proposals in a mild, somewhat cautious way. Their single explicit response to a contribution-norm suggestion is tentative rather than emphatic, indicating they are open to cooperation but not strongly assertive in pushing it. They do not directly call out low contributors or engage in blame, even when others do. Their style is reactive rather than proactive: they respond once to an invitation to fully contribute but otherwise stay quiet, letting actions rather than words signal their intentions. Overall they engage, but minimally, and avoid conflict, persuasion campaigns, or overt emotional displays. Their communication suggests a cooperative disposition with reserved, low-dominance social behavior.",0.36323094,-0.13796656,11,Low-Engagement Cooperative Players,"This group of players exhibits minimal communication while maintaining a cooperative stance. They engage sparingly, often responding to others rather than initiating discussions, and their tone remains polite and non-confrontational. Their contributions are typically brief and focused on reinforcing group norms rather than leading or challenging the group dynamics.",121
"The player does not speak at all in the chat. They neither initiate coordination nor respond to others’ messages, including direct calls for group action or end-game plans. This indicates a strongly silent/observing communication style: they pay attention (as shown by prompt, norm-consistent behavior) but remain entirely nonverbal. They neither join in bullying nor defend targets, so their stance on the interpersonal conflict is unknown. They do not publicly endorse norms, explain their reasoning, or attempt to persuade free riders; instead, they enforce preferred outcomes solely through contribution and punishment choices. They show no signs of seeking social approval, status, or alignment with any faction in the chat. Responsiveness is behavioral rather than verbal: they adjust punishment patterns over time but never through explicit communication.",1.7607684,0.29918227,13,Silent Cooperators in Group Dynamics,"This persona cluster highlights individuals who exhibit minimal to no verbal communication in group settings. Their engagement is primarily action-based, relying on contributions rather than dialogue to participate in cooperative efforts. This behavior suggests a preference for observation over active participation in social interactions.",144
"The player’s communication is extremely sparse and front‑loaded. Early on, they join the initial pro-cooperation norm with a short, approving confirmation that they are also contributing the maximum. After that, they fall completely silent for the remainder of the interaction, even as they become a focal target of extensive ridicule and threats. They do not defend themselves, do not argue their case, and do not attempt to persuade others or negotiate around punishment. This pattern indicates an avoidance-based communication style once conflict emerges: they withdraw from the social arena rather than contesting status or reputation. Their tone in the single early message is neutral‑positive and cooperative, not aggressive or moralizing. They do not publicly justify their choices or confront others’ bullying, which makes their underlying motives partially opaque to the group. They also show no apparent responsiveness to repeated direct address; even sustained, escalating attempts to provoke them do not elicit any further messages. This suggests either a deliberate choice to disengage from chat or a strong preference to let actions (consistent max contributions) speak for themselves rather than words.",1.0233406,0.45629984,13,Silent Cooperators in Group Dynamics,"This persona cluster highlights individuals who exhibit minimal to no verbal communication in group settings. Their engagement is primarily action-based, relying on contributions rather than dialogue to participate in cooperative efforts. This behavior suggests a preference for observation over active participation in social interactions.",144
"Their tone is generally calm, moralistic, and disapproving of cruelty rather than of low contributions. Early on, they align verbally with the group’s cooperative strategy, but they do not join in hostile or dehumanizing language. As the dominant coalition turns aggressively punitive and mocking toward specific players, they openly oppose the bullying, explicitly state they “don’t like bullies,” and frame their stance as about morals and disgust at picking on one person. They attempt mild coordination around fairness and cooperation (talking about everyone giving their “fair share” and “playing fair”) but do not try to organize punishment campaigns. Their persuasion style is value-based rather than technical: they appeal to decency and maturity more than to game-theoretic arguments, and they mock others’ self-perceived superiority rather than their strategy. They respond when addressed and engage directly with the hostile majority, but without escalating to profanity or sustained insult; their barbs stay relatively restrained compared to others. They show some initial confusion about the chat interface, mentioning they didn’t realize how to send properly, which may explain sparse or delayed responses early. Overall, they engage selectively: they speak when something matters to them (bullying, fairness) and otherwise stay relatively quiet, especially once it’s clear the group will not change its behavior. Their style is confrontational in principle but not in volume; they stand their ground but do not dominate the chat.",-0.6046042,-0.13040942,7,Cooperative Communication in Group Dynamics,"This cluster highlights individuals who prioritize cooperation and group norms in their communication. They engage in brief, purposeful exchanges that support collective strategies, often framing their contributions in moral or pragmatic terms. Their interactions reflect a commitment to fostering a cooperative environment while avoiding confrontational language.",131
"They use chat actively and assertively to coordinate behavior, set norms, and rally others to full contribution and heavy punishment. Their tone is often domineering, mocking, and moralizing: they label non-compliers and critics as “morons,” “greedy,” or otherwise inferior, and insist that everyone else is “smarter” than the target. They use insults and ridicule as tools to enforce norms and build an in-group (“we” who understand the game vs. “they” who are stupid, greedy, or foreign). They engage heavily rather than avoid conflict, repeatedly addressing defectors and critics even when the conversation becomes purely antagonistic. They respond quickly to allies who share their views, reinforcing group cohesion with agreement and humor. Toward dissenters, they dismiss moral objections and reframe the situation in instrumental terms (maximizing money, following the logic/game theory). They also speculate negatively about others’ status (e.g., insinuating bot use or foreign access) to delegitimize them. Overall, their communication style is confrontational, status-assertive, and focused on enforcing a single “rational” cooperative norm, with little tolerance for alternative value frames.",-1.4336643,0.3582568,1,Cooperative Norms and Group Dynamics,"This cluster highlights personas that actively promote cooperation and norm enforcement within group settings. Their communication styles range from assertive and aggressive to supportive and mildly humorous, all aimed at maximizing contributions and discouraging non-compliance. These individuals often use chat to coordinate behavior, rally support, and establish a strong in-group identity.",110
