treatment_name,metric_family,metric,distance_kind,score
CHIP3__GAME_1,distribution_distance,final_surplus_ratio,wasserstein_1d,0.27534009861166725
CHIP3__GAME_1,distribution_distance,final_total_surplus,wasserstein_1d,4.574999999999999
CHIP3__GAME_1,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.5249999999999997
CHIP3__GAME_1,distribution_distance,proposer_net_surplus,wasserstein_1d,1.1935185185185186
CHIP3__GAME_1,distribution_distance,trade_ratio,wasserstein_1d,0.345190329218107
CHIP3__GAME_1,distribution_distance,acceptance_rate,wasserstein_1d,0.04166666666666663
CHIP3__GAME_1,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.979031007751938
CHIP3__GAME_1,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.3335212870677987
CHIP3__GAME_1,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.465625
CHIP3__GAME_1,distribution_distance,declined_trade_ratio,wasserstein_1d,0.34168947272395545
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_surplus_ratio,wasserstein_1d,0.3024062643049148
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,final_total_surplus,wasserstein_1d,4.924999999999999
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,mean_player_final_surplus,wasserstein_1d,1.6416666666666666
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,proposer_net_surplus,wasserstein_1d,1.323478835978836
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,trade_ratio,wasserstein_1d,0.4405929333012667
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,acceptance_rate,wasserstein_1d,0.20833333333333331
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.9267676767676767
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,accepted_trade_ratio,wasserstein_1d,0.3447330447330448
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_proposer_net_surplus,wasserstein_1d,1.7012210012210012
CHIP3__GAME_2_ALT_PROFILE,distribution_distance,declined_trade_ratio,wasserstein_1d,0.5032069782069784
