custom_id,record_id,unit_id,treatment_name,variant,model,experiment_code,role,visibility,schema_type,action_context,deliberation_dimension
two_stage_trust_punishment_y2hgu__e1_a_106,E1__A__106,E1__A__106,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1183,E1__A__1183,E1__A__1183,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1239,E1__A__1239,E1__A__1239,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1278,E1__A__1278,E1__A__1278,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1296,E1__A__1296,E1__A__1296,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1322,E1__A__1322,E1__A__1322,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1385,E1__A__1385,E1__A__1385,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1466,E1__A__1466,E1__A__1466,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1571,E1__A__1571,E1__A__1571,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1611,E1__A__1611,E1__A__1611,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1625,E1__A__1625,E1__A__1625,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1700,E1__A__1700,E1__A__1700,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_174,E1__A__174,E1__A__174,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1744,E1__A__1744,E1__A__1744,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1884,E1__A__1884,E1__A__1884,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1897,E1__A__1897,E1__A__1897,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1903,E1__A__1903,E1__A__1903,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_198,E1__A__198,E1__A__198,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_1998,E1__A__1998,E1__A__1998,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2056,E1__A__2056,E1__A__2056,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2066,E1__A__2066,E1__A__2066,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2089,E1__A__2089,E1__A__2089,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2095,E1__A__2095,E1__A__2095,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2106,E1__A__2106,E1__A__2106,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2177,E1__A__2177,E1__A__2177,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2195,E1__A__2195,E1__A__2195,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2214,E1__A__2214,E1__A__2214,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2331,E1__A__2331,E1__A__2331,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2372,E1__A__2372,E1__A__2372,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2414,E1__A__2414,E1__A__2414,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2448,E1__A__2448,E1__A__2448,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2459,E1__A__2459,E1__A__2459,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2476,E1__A__2476,E1__A__2476,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_2558,E1__A__2558,E1__A__2558,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_28,E1__A__28,E1__A__28,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_284,E1__A__284,E1__A__284,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_379,E1__A__379,E1__A__379,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_397,E1__A__397,E1__A__397,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_428,E1__A__428,E1__A__428,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_501,E1__A__501,E1__A__501,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_543,E1__A__543,E1__A__543,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_56,E1__A__56,E1__A__56,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_582,E1__A__582,E1__A__582,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_744,E1__A__744,E1__A__744,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
two_stage_trust_punishment_y2hgu__e1_a_748,E1__A__748,E1__A__748,E1_ROLE_A_HIDDEN,demographic_only_row_resampled_seed_0,gpt-5.1,E1,A,hidden,role_a_check,help,cost
