unit_id,twin_pid,headline,summary,background_summary,age_bracket,sex_assigned_at_birth,education_harmonized,match_level,reuse_count_before,reuse_count_after,sampled_target_source_row_id,target_matching_age_bracket,target_matching_sex
E1__A__1044,149,"Guarded against exploitation, behaviorally stable, more intuitive","Strongest supported tendencies are guarded against exploitation, behaviorally stable, and more intuitive. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Male; Completed education: Associate's degree.,30-49,male,college/postsecondary,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_11121,30-49,male
E1__A__106,1819,"Socially adaptive, short-horizon, empathic","Strongest supported tendencies are socially adaptive, short-horizon, and empathic. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: College graduate/some postgrad.,30-49,male,college/postsecondary,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_08328,30-49,male
E1__A__1183,1947,"Structure-seeking, inequality-tolerant, cooperation-oriented","Strongest supported tendencies are structure-seeking, inequality-tolerant, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Male; Completed education: High school graduate.,30-49,male,high school,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_06683,30-49,male
E1__A__1189,707,"Patient, inequality-tolerant, more behaviorally variable","Strongest supported tendencies are patient, inequality-tolerant, and more behaviorally variable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: Less than high school.,30-49,female,high school,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_03527,30-49,female
E1__A__1223,25,"More intuitive, empathic, behaviorally stable","Strongest supported tendencies are more intuitive, empathic, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks.",Age: 50-64; Sex assigned at birth: Female; Completed education: High school graduate.,50-64,female,high school,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_04025,50-64,female
E1__A__1239,1161,"More intuitive, structure-seeking, cooperation-oriented","Strongest supported tendencies are more intuitive, structure-seeking, and cooperation-oriented. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_00536,30-49,female
E1__A__1270,404,"Structure-seeking, patient, behaviorally stable","Strongest supported tendencies are structure-seeking, patient, and behaviorally stable. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 30-49; Sex assigned at birth: Male; Completed education: Some college, no degree.",30-49,male,high school,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_00984,30-49,male
E1__A__1278,2021,"Strong logical reasoner, empathic, patient","Strongest supported tendencies are strong logical reasoner, empathic, and patient. Social evidence is mixed between self-report and direct allocation tasks.",Age: 30-49; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,30-49,female,college/postsecondary,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_00217,30-49,female
E1__A__1295,1930,"Short-horizon, inequality-tolerant, strong logical reasoner","Strongest supported tendencies are short-horizon, inequality-tolerant, and strong logical reasoner. Social evidence is mixed between self-report and direct allocation tasks. Fairness-enforcement signals are relatively weak.","Age: 18-29; Sex assigned at birth: Male; Completed education: Some college, no degree.",18-29,male,high school,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_02292,18-29,male
E1__A__1296,1940,"Behaviorally stable, reflective, patient","Strongest supported tendencies are behaviorally stable, reflective, and patient. Cooperative self-report and direct allocation behavior point in the same general direction. Fairness-enforcement signals are relatively weak.",Age: 50-64; Sex assigned at birth: Female; Completed education: College graduate/some postgrad.,50-64,female,college/postsecondary,matching_age_bracket+matching_sex,0,1,two_stage_demo_source_10632,50-64,female
