metric_family,metric,distance_kind,n_groups,mean_score,median_score
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.2664,0.27016666666666667
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.10466666666666666,0.09583333333333331
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.07766666666666666,0.07256944444444444
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.1665,0.14645833333333336
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.36991666666666667,0.39
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.14661666666666667,0.15
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.3861833333333333,0.3969166666666667
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.10466666666666666,0.09583333333333331
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.07766666666666666,0.07256944444444444
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.27441666666666664,0.26666666666666666
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.058583333333333334,0.029166666666666646
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.36991666666666667,0.39
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.18428571428571427,0.15857142857142856
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.08164671006167384,0.07923809523809525
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.12050834457877355,0.1235949074074074
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.1505343749497435,0.15805555555555556
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.19261016289642333,0.209
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.32498673813931167,0.32
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.13082444260216436,0.13908408408408407
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.26571428571428574,0.2585714285714286
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.21999999999999997,0.20999999999999996
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.175,0.16999999999999998
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.12000000000000002,0.10999999999999999
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.355,0.29999999999999993
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.505,0.5
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.14500000000000002,0.17000000000000004
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.33999999999999997,0.35000000000000003
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.3288169642857143,0.3198214285714286
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.3399479166666667,0.35
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.27848958333333335,0.26666666666666666
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.07619791666666667,0.057500000000000016
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.2903125,0.26083333333333336
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.20182291666666666,0.11666666666666668
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.4493229166666667,0.42
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.665625,0.66
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,0.9827129663466319,1.010822317891503
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,0.6541222130108219,0.6954204204204204
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,1.8422620168236377,1.9412500000000001
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.4517546692054359,0.40875
