metric_family,treatment_name,cell_name,scenario,case,metric,distance_kind,score,generated_n,human_n
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.09599999999999999,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.44000000000000006,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.268,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.09999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.09999999999999998,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.07666666666666667,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.07666666666666667,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.26,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.01999999999999999,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_wd,mean_wasserstein_1d,0.14,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_earth_wd,wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,coordination_wd,mean_wasserstein_1d,0.46,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_offer_wd,wasserstein_1d,0.148,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,inequality_tolerance_wd,wasserstein_1d,0.448,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,fairness_wd,mean_wasserstein_1d,0.298,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_send_wd,wasserstein_1d,0.01999999999999999,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trust_wd,mean_wasserstein_1d,0.01999999999999999,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_return_wd,wasserstein_1d,0.043333333333333335,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,trustworthiness_wd,mean_wasserstein_1d,0.043333333333333335,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_pd_wd,wasserstein_1d,0.28,50,50
behavior_distribution_distance,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,cooperation_sh_wd,wasserstein_1d,0.020000000000000018,50,50
