dataset_name,gpt-5-mini,gpt-5-nano
DICES,68.36757804439107,88.46612529137589
OpinionQA,50.817968273487395,-3.2914643953550007
MoralMachineClassic,,
WisdomOfCrowds,38.50088962018067,-7.083996273292461
OSPsychMGKT,-353.23664423171834,58.23297634469253
Afrobarometer,,
ChaosNLI,-14.070463697391318,-14.45699391833188
GlobalOpinionQA,-127.5901334937481,12.891217148322
OSPsychBig5,6.43371655517177,16.304677786568913
ISSP,44.73102504883472,31.099577006864564
ESS,,
OSPsychRWAS,21.427114020005472,22.85105024941876
TISP,17.366369267850605,27.05952035248845
ConspiracyCorr,-102.9032258064516,-177.4193548387097
NumberGame,-35.62841013376348,-1.8189894035458565e-14
LatinoBarometro,,
Choices13k,0.4,-4.547473508864641e-15
Jester,-38.02192956941198,3.8209482001358945
OSPsychMACH,-121.31586726775558,-42.90887591456656
MoralMachine,-108.7088646473321,-7.894919286223335e-16
