model_name,score_family,metric,score
gpt-5-mini,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,1.256668310618376
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.5428245721783508
gpt-5-mini,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9791883167625092
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.6004952454090382
gpt-5-mini,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.7741109006762187
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6567009119086828
gpt-5-mini,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6077801564500814
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6356168532925554
gpt-5-mini,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.007580233924015
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,0.7703243267888775
gpt-5-mini,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.5928737326648064
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.6693923396344464
gpt-5-mini,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5710836137177315
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5149135699126282
gpt-5-mini,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.2529159123332334
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7321604446453979
gpt-5-mini,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7480828018513325
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,final_total_contribution_rate,0.49068013868901306
gpt-5-mini,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.8013603766621383
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.5844783968799481
gpt-5-mini,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.5227154618534293
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.3742535520891002
gpt-5-mini,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.8912064457371678
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.57098643742761
gpt-5-mini,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.7819166609434317
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.725440365115416
gpt-5-mini,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.46153469855423523
twin_sampled_seed_0_gpt_5_mini,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.47539991183257496
gpt-5-mini,mean_wasserstein_distance,final_round_normalized_efficiency,0.6619579569413097
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,final_round_normalized_efficiency,0.47122518591485585
gpt-5-mini,mean_wasserstein_distance,final_total_contribution_rate,0.5374852668662642
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,final_total_contribution_rate,0.3264931008231355
gpt-5-mini,mean_wasserstein_distance,mean_round_normalized_efficiency,0.35392563460754556
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,mean_round_normalized_efficiency,0.2436109652924535
gpt-5-mini,mean_wasserstein_distance,mean_total_contribution_rate,0.2939994141777877
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,mean_total_contribution_rate,0.17857851203941955
gpt-5-mini,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.04222189604438074
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.03911095454198201
gpt-5-mini,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.5092457174480967
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.4032403933255445
gpt-5-mini,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.4042766573408164
twin_sampled_seed_0_gpt_5_mini,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.2721335485634442
gpt-5-mini,rmse_of_config_means,final_round_normalized_efficiency,0.633240939047256
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,final_round_normalized_efficiency,0.45665758702247106
gpt-5-mini,rmse_of_config_means,final_total_contribution_rate,0.5826948719986664
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,final_total_contribution_rate,0.36803123345154143
gpt-5-mini,rmse_of_config_means,mean_round_normalized_efficiency,0.377159195924569
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,mean_round_normalized_efficiency,0.2534344987450353
gpt-5-mini,rmse_of_config_means,mean_total_contribution_rate,0.32526955483639985
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,mean_total_contribution_rate,0.20356163490886742
gpt-5-mini,rmse_of_config_means,mean_within_round_contribution_rate_var,0.04110275298663652
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,mean_within_round_contribution_rate_var,0.04243282672222506
gpt-5-mini,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.5450552235977626
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,round_normalized_efficiency_decay_slope,0.4253688710177014
gpt-5-mini,rmse_of_config_means,total_contribution_rate_decay_slope,0.4628864005627951
twin_sampled_seed_0_gpt_5_mini,rmse_of_config_means,total_contribution_rate_decay_slope,0.31813430597403547
