metric_family,case_group,role_slice,game,metric,distance_kind,score,generated_n,human_n
payoff_distribution_distance,Benchmark,both,Sender,sender_expected_payoff,wasserstein_1d,0.09488464951197871,92,100
payoff_distribution_distance,Benchmark,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.01026175687666371,92,100
payoff_distribution_distance,Benchmark,both,PD,pd_expected_payoff,wasserstein_1d,0.9486024844720496,92,100
payoff_distribution_distance,Benchmark,both,SH,sh_expected_payoff,wasserstein_1d,0.07616237799467618,92,100
payoff_distribution_distance,Benchmark,both,C,c_expected_payoff,wasserstein_1d,0.5170541259982254,92,100
payoff_distribution_distance,Benchmark,both,Proposer,proposer_expected_payoff,wasserstein_1d,1.1385625554569654,92,100
payoff_distribution_distance,Benchmark,both,Responder,responder_expected_payoff,wasserstein_1d,1.5594676131322096,92,100
payoff_distribution_distance,Benchmark,no,Sender,sender_expected_payoff,wasserstein_1d,0.0823513753327418,92,100
payoff_distribution_distance,Benchmark,no,Receiver,receiver_expected_payoff,wasserstein_1d,0.006672582076308789,92,100
payoff_distribution_distance,Benchmark,no,PD,pd_expected_payoff,wasserstein_1d,0.9218722271517301,92,100
payoff_distribution_distance,Benchmark,no,SH,sh_expected_payoff,wasserstein_1d,0.08821650399290146,92,100
payoff_distribution_distance,Benchmark,no,C,c_expected_payoff,wasserstein_1d,0.5776131322094055,92,100
payoff_distribution_distance,Benchmark,no,Proposer,proposer_expected_payoff,wasserstein_1d,1.572058562555457,92,100
payoff_distribution_distance,Benchmark,no,Responder,responder_expected_payoff,wasserstein_1d,1.7221472937000886,92,100
payoff_distribution_distance,Benchmark,yes,Sender,sender_expected_payoff,wasserstein_1d,0.10741792369121564,92,100
payoff_distribution_distance,Benchmark,yes,Receiver,receiver_expected_payoff,wasserstein_1d,0.018784383318544807,92,100
payoff_distribution_distance,Benchmark,yes,PD,pd_expected_payoff,wasserstein_1d,0.975332741792369,92,100
payoff_distribution_distance,Benchmark,yes,SH,sh_expected_payoff,wasserstein_1d,0.03864241348713401,92,100
payoff_distribution_distance,Benchmark,yes,C,c_expected_payoff,wasserstein_1d,0.45649511978704527,92,100
payoff_distribution_distance,Benchmark,yes,Proposer,proposer_expected_payoff,wasserstein_1d,0.7066459627329192,92,100
payoff_distribution_distance,Benchmark,yes,Responder,responder_expected_payoff,wasserstein_1d,1.3967879325643302,92,100
payoff_distribution_distance,AIR,both,Sender,sender_expected_payoff,wasserstein_1d,0.019267968056787984,92,100
payoff_distribution_distance,AIR,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.0013087843833185426,92,100
payoff_distribution_distance,AIR,both,PD,pd_expected_payoff,wasserstein_1d,0.37378438331854474,92,100
payoff_distribution_distance,AIR,both,SH,sh_expected_payoff,wasserstein_1d,0.0708074534161491,92,100
payoff_distribution_distance,AIR,both,C,c_expected_payoff,wasserstein_1d,0.07256433007985806,92,100
payoff_distribution_distance,AIR,both,Proposer,proposer_expected_payoff,wasserstein_1d,0.8357098491570542,92,100
payoff_distribution_distance,AIR,both,Responder,responder_expected_payoff,wasserstein_1d,1.2672937000887314,92,100
payoff_distribution_distance,AIR,no,Sender,sender_expected_payoff,wasserstein_1d,0.010408163265306134,92,100
payoff_distribution_distance,AIR,no,Receiver,receiver_expected_payoff,wasserstein_1d,0.0,92,100
payoff_distribution_distance,AIR,no,PD,pd_expected_payoff,wasserstein_1d,0.7421739130434782,92,100
payoff_distribution_distance,AIR,no,SH,sh_expected_payoff,wasserstein_1d,0.07304347826086954,92,100
payoff_distribution_distance,AIR,no,C,c_expected_payoff,wasserstein_1d,0.1923513753327418,92,100
payoff_distribution_distance,AIR,no,Proposer,proposer_expected_payoff,wasserstein_1d,1.6502750665483585,92,100
payoff_distribution_distance,AIR,no,Responder,responder_expected_payoff,wasserstein_1d,2.530692102928128,92,100
payoff_distribution_distance,AIR,yes,Sender,sender_expected_payoff,wasserstein_1d,0.0010115350488021184,92,100
payoff_distribution_distance,AIR,yes,Receiver,receiver_expected_payoff,wasserstein_1d,0.0026175687666370917,92,100
payoff_distribution_distance,AIR,yes,PD,pd_expected_payoff,wasserstein_1d,0.0015616681455190755,92,100
payoff_distribution_distance,AIR,yes,SH,sh_expected_payoff,wasserstein_1d,0.005838509316770204,92,100
payoff_distribution_distance,AIR,yes,C,c_expected_payoff,wasserstein_1d,0.006495119787045203,92,100
payoff_distribution_distance,AIR,yes,Proposer,proposer_expected_payoff,wasserstein_1d,0.02254658385093168,92,100
payoff_distribution_distance,AIR,yes,Responder,responder_expected_payoff,wasserstein_1d,0.01482697426796805,92,100
payoff_distribution_distance,TD,both,Sender,sender_expected_payoff,wasserstein_1d,0.12234693877551021,100,100
payoff_distribution_distance,TD,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.007040816326530603,100,100
payoff_distribution_distance,TD,both,PD,pd_expected_payoff,wasserstein_1d,0.6361224489795919,100,100
payoff_distribution_distance,TD,both,SH,sh_expected_payoff,wasserstein_1d,0.096326530612245,100,100
payoff_distribution_distance,TD,both,C,c_expected_payoff,wasserstein_1d,0.4089795918367347,100,100
payoff_distribution_distance,TD,both,Proposer,proposer_expected_payoff,wasserstein_1d,0.975204081632653,100,100
payoff_distribution_distance,TD,both,Responder,responder_expected_payoff,wasserstein_1d,1.0396938775510205,100,100
payoff_distribution_distance,TD,no,Sender,sender_expected_payoff,wasserstein_1d,0.0971428571428571,100,100
payoff_distribution_distance,TD,no,Receiver,receiver_expected_payoff,wasserstein_1d,0.010612244897959245,100,100
payoff_distribution_distance,TD,no,PD,pd_expected_payoff,wasserstein_1d,0.7693877551020407,100,100
payoff_distribution_distance,TD,no,SH,sh_expected_payoff,wasserstein_1d,0.1563265306122449,100,100
payoff_distribution_distance,TD,no,C,c_expected_payoff,wasserstein_1d,0.27673469387755106,100,100
payoff_distribution_distance,TD,no,Proposer,proposer_expected_payoff,wasserstein_1d,1.0648979591836736,100,100
payoff_distribution_distance,TD,no,Responder,responder_expected_payoff,wasserstein_1d,1.5618367346938777,100,100
payoff_distribution_distance,TD,yes,Sender,sender_expected_payoff,wasserstein_1d,0.08020408163265294,100,100
payoff_distribution_distance,TD,yes,Receiver,receiver_expected_payoff,wasserstein_1d,0.02714285714285722,100,100
payoff_distribution_distance,TD,yes,PD,pd_expected_payoff,wasserstein_1d,0.502857142857143,100,100
payoff_distribution_distance,TD,yes,SH,sh_expected_payoff,wasserstein_1d,0.08000000000000003,100,100
payoff_distribution_distance,TD,yes,C,c_expected_payoff,wasserstein_1d,0.5424489795918368,100,100
payoff_distribution_distance,TD,yes,Proposer,proposer_expected_payoff,wasserstein_1d,0.8997959183673471,100,100
payoff_distribution_distance,TD,yes,Responder,responder_expected_payoff,wasserstein_1d,0.8844897959183674,100,100
payoff_distribution_distance,OD,both,Sender,sender_expected_payoff,wasserstein_1d,0.0780612244897959,100,100
payoff_distribution_distance,OD,both,Receiver,receiver_expected_payoff,wasserstein_1d,0.013469387755101961,100,100
payoff_distribution_distance,OD,both,PD,pd_expected_payoff,wasserstein_1d,0.5075510204081631,100,100
payoff_distribution_distance,OD,both,SH,sh_expected_payoff,wasserstein_1d,0.060714285714285623,100,100
payoff_distribution_distance,OD,both,C,c_expected_payoff,wasserstein_1d,0.33948979591836737,100,100
payoff_distribution_distance,OD,both,Proposer,proposer_expected_payoff,wasserstein_1d,0.5533673469387754,100,100
payoff_distribution_distance,OD,both,Responder,responder_expected_payoff,wasserstein_1d,1.0070408163265305,100,100
payoff_distribution_distance,OD,no,Sender,sender_expected_payoff,wasserstein_1d,0.0616326530612245,100,100
payoff_distribution_distance,OD,no,Receiver,receiver_expected_payoff,wasserstein_1d,0.00918367346938771,100,100
payoff_distribution_distance,OD,no,PD,pd_expected_payoff,wasserstein_1d,0.6683673469387758,100,100
payoff_distribution_distance,OD,no,SH,sh_expected_payoff,wasserstein_1d,0.0736734693877551,100,100
payoff_distribution_distance,OD,no,C,c_expected_payoff,wasserstein_1d,0.3838775510204082,100,100
payoff_distribution_distance,OD,no,Proposer,proposer_expected_payoff,wasserstein_1d,0.5828571428571429,100,100
payoff_distribution_distance,OD,no,Responder,responder_expected_payoff,wasserstein_1d,1.5281632653061226,100,100
payoff_distribution_distance,OD,yes,Sender,sender_expected_payoff,wasserstein_1d,0.015714285714285705,100,100
payoff_distribution_distance,OD,yes,Receiver,receiver_expected_payoff,wasserstein_1d,0.02102040816326526,100,100
payoff_distribution_distance,OD,yes,PD,pd_expected_payoff,wasserstein_1d,0.3385714285714286,100,100
payoff_distribution_distance,OD,yes,SH,sh_expected_payoff,wasserstein_1d,0.04530612244897959,100,100
payoff_distribution_distance,OD,yes,C,c_expected_payoff,wasserstein_1d,0.29510204081632646,100,100
payoff_distribution_distance,OD,yes,Proposer,proposer_expected_payoff,wasserstein_1d,0.5344897959183674,100,100
payoff_distribution_distance,OD,yes,Responder,responder_expected_payoff,wasserstein_1d,0.7544897959183674,100,100
