question_id,block_name,question_type,n_csv_columns,is_wave4_target,is_wave1_3_match_for_wave4_target,family,candidate_role,exclusion_group,question_text_short
QID183,Absolute vs. relative - calculator,MC,1,False,False,other,other,,Imagine that you go to purchase a calculator for $30. The calculator salesperson informs you that the calculator you wish to buy is on sale for $20 at the ot...
QID184,Absolute vs. relative - jacket,MC,1,True,True,other,digital_twin_sim_target,,Imagine that you go to purchase a jacket for $250. The jacket salesperson informs you that the jacket you wish to buy is on sale for $240 at the other branch...
QID192,Allais Form 1,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Choose between:
QID193,Allais Form 2,MC,1,False,False,heuristics_biases,profile_input_candidate,,Choose between:
QID165,Anchoring - African countries high,MC,1,False,False,heuristics_biases,profile_input_candidate,,Do you think there are more or fewer than 65 African countries in the United Nations?
QID166,Anchoring - African countries high,TE,1,False,False,heuristics_biases,profile_input_candidate,,How many African countries do you think are in the United Nations?
QID163,Anchoring - African countries low ,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Do you think there are more or fewer than 12 African countries in the United Nations?
QID164,Anchoring - African countries low ,TE,1,True,True,heuristics_biases,digital_twin_sim_target,,How many African countries do you think are in the United Nations?
QID169,Anchoring - redwood high,MC,1,False,False,heuristics_biases,profile_input_candidate,,Is the tallest redwood tree in the world more or less than 1000 feet tall?
QID170,Anchoring - redwood high,TE,1,False,False,heuristics_biases,profile_input_candidate,,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.
QID167,Anchoring - redwood low,MC,1,True,True,heuristics_biases,digital_twin_sim_target,,Is the tallest redwood tree in the world more or less than 85 feet tall?
QID168,Anchoring - redwood low,TE,1,True,True,heuristics_biases,digital_twin_sim_target,,How tall do you think the tallest redwood tree in the world is? Enter a number of feet.
QID154,Base-rate 30 engineers ,Slider,1,False,False,other,other,,"A panel of psychologist have interviewed and administered personality tests to 30 engineers and 70 lawyers, all successful in their respective fields. On the..."
QID156,Base-rate 70 engineers,Slider,1,True,True,other,digital_twin_sim_target,,"A panel of psychologist have interviewed and administered personality tests to 70 engineers and 30 lawyers, all successful in their respective fields. On the..."
QID123,Cognitive tests ,TE,1,False,False,cognitive_tests,profile_input_candidate,,You just answered 42 questions that measured your performance on various cognitive tests. How many of these questions do you think you answered correctly? En...
QID124,Cognitive tests ,TE,1,False,False,cognitive_tests,profile_input_candidate,,"How many of these questions do you think you people from a representative sample of the US adult population would answer correctly, on average? Enter a numbe..."
QID217,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,You are now going to receive a series of four problems. You must decide whether the stated conclusion follows logically from the premises or not. You must su...
QID218,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Premise 1: If the winter is harsh, then there will be a flu epidemic. Premise 2: The winter is harsh. Conclusion: There will be a flu epidemic. Does the conc..."
QID219,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Premise 1: If a car is a Honda, then it is expensive. Premise 2: A car is a Honda. Conclusion: The car is expensive. Does the conclusion follow logically fro..."
QID220,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Premise 1: If a person eats hamburgers, then they will get cancer. Premise 2: A person eats hamburgers. Conclusion: The person will get cancer. Does the conc..."
QID221,Cognitive tests ,MC,4,False,False,cognitive_tests,profile_input_candidate,,"Imagine you see a number of cards from a set of cards. Each card in the set has a capital letter on one side and a number on the other. Naturally, only one s..."
QID241,Cognitive tests ,DB,0,False,False,cognitive_tests,profile_input_candidate,,"In this section, you will answer a series of 42 questions that will test your performance on various cognitive tests."
QID265,Cognitive tests ,DB,0,False,False,cognitive_tests,profile_input_candidate,,This completes this section. You will now move on to the next section.
QID268,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"If a glock is not a XAR, you can say:"
QID269,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"If a koy is a YOF, you can say:"
QID270,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"If a koy is not a YOF, you can say:"
QID271,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All animals love water. Premise 2: Plants do not love water. Conclusion: Plants are not animals. Does the conclusion follow logically from the pre...
QID272,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All animals with four legs are dangerous. Premise 2: Poodles are not dangerous. Conclusion: Poodles do not have four legs. Does the conclusion fol...
QID273,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All eastern countries are communist. Premise 2: China is not an eastern country. Conclusion: China is not communist. Does the conclusion follow lo...
QID274,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All flowers have petals. Premise 2: Roses have petals. Conclusion: Roses are flowers. Does the conclusion follow logically from the premises ?
QID275,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All mammals swim. Premise 2: Whales are mammals. Conclusion: Whales swim. Does the conclusion follow logically from the premises ?
QID276,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise 1: All unemployed people are poor. Premise 2: Rockefeller is not unemployed. Conclusion: Rockefeller is not poor. Does the conclusion follow logicall...
QID277,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,Premise I: All things that have a motor need oil. Premise 2: Bicycles need oil. Conclusion: Bicycles have motors. Does the conclusion follow logically from t...
QID278,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Suppose that it is true that: All the XAR's are YOF's. With this in mind, answer the following questions. If a glock is a XAR, you can say:"
QID279,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,You are now going to receive a series of eight problems. You must decide whether the stated conclusion follows logically from the premises or not. You must s...
QID36,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Do you think that the following statement is true or false? ""A 15-year mortgage typically requires higher monthly payments than a 30-year mortgage, but the t..."
QID37,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Imagine that the interest rate on your saving account was 1% per year and inflation was 2% per year. After 1 year, would you be able to buy:"
QID38,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Normally, which asset described below displays the highest fluctuations over time?"
QID39,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"Do you think that the following statement is true or false? ""If you were to invest $1,000 in a stock mutual fund, it would be possible to have less than $1,0..."
QID40,Cognitive tests ,MC,1,False,False,cognitive_tests,profile_input_candidate,,"When an investor spreads their money among different assets, the risk of losing a lot of money:"
