metric_scope,treatment_name,cell_name,scenario,case,metric,generated_value,human_value,abs_error,generated_n,human_n
session,ODP,,,,UGProposer_delegated,0.76,0.36,0.4,50,50
session,ODP,,,,UGResponder_delegated,0.02,0.4,0.38,50,50
session,ODP,,,,TGSender_delegated,0.1,0.52,0.42000000000000004,50,50
session,ODP,,,,TGReceiver_delegated,0.68,0.46,0.22000000000000003,50,50
session,ODP,,,,PD_delegated,0.74,0.32,0.42,50,50
session,ODP,,,,SH_delegated,0.5,0.32,0.18,50,50
session,ODP,,,,C_delegated,0.34,0.32,0.020000000000000018,50,50
session,ODU,,,,UGProposer_delegated,0.7,0.38,0.31999999999999995,50,50
session,ODU,,,,UGResponder_delegated,0.0,0.44,0.44,50,50
session,ODU,,,,TGSender_delegated,0.02,0.66,0.64,50,50
session,ODU,,,,TGReceiver_delegated,0.62,0.62,0.0,50,50
session,ODU,,,,PD_delegated,0.7,0.4,0.29999999999999993,50,50
session,ODU,,,,SH_delegated,0.36,0.3,0.06,50,50
session,ODU,,,,C_delegated,0.4,0.56,0.16000000000000003,50,50
session,TDP,,,,UGProposer_delegated,0.74,0.28,0.45999999999999996,50,50
session,TDP,,,,UGResponder_delegated,0.02,0.32,0.3,50,50
session,TDP,,,,TGSender_delegated,0.02,0.42,0.39999999999999997,50,50
session,TDP,,,,TGReceiver_delegated,0.58,0.38,0.19999999999999996,50,50
session,TDP,,,,PD_delegated,0.76,0.28,0.48,50,50
session,TDP,,,,SH_delegated,0.44,0.24,0.2,50,50
session,TDP,,,,C_delegated,0.34,0.52,0.18,50,50
session,TDU,,,,UGProposer_delegated,0.58,0.28,0.29999999999999993,50,50
session,TDU,,,,UGResponder_delegated,0.0,0.46,0.46,50,50
session,TDU,,,,TGSender_delegated,0.0,0.54,0.54,50,50
session,TDU,,,,TGReceiver_delegated,0.46,0.44,0.020000000000000018,50,50
session,TDU,,,,PD_delegated,0.68,0.34,0.34,50,50
session,TDU,,,,SH_delegated,0.56,0.24,0.32000000000000006,50,50
session,TDU,,,,C_delegated,0.4,0.48,0.07999999999999996,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_nonnull_rate,0.24,0.64,0.4,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_nonnull_rate,0.98,0.6,0.38,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGSender_decision_nonnull_rate,0.9,0.48,0.42000000000000004,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_nonnull_rate,0.32,0.54,0.22000000000000003,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,PD_decision_nonnull_rate,0.26,0.68,0.42000000000000004,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,SH_decision_nonnull_rate,0.5,0.68,0.18000000000000005,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,C_decision_nonnull_rate,0.66,0.68,0.020000000000000018,50,50
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_direct_mean,4.666666666666667,4.78125,0.11458333333333304,12,32
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_direct_mean,3.0816326530612246,4.033333333333333,0.9517006802721086,49,30
scenario,ODP,ODP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_direct_mean,2.625,2.5185185185185186,0.1064814814814814,16,27
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGSender_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,PD_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,SH_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,C_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_direct_mean,4.56,4.64,0.08000000000000007,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_direct_mean,3.06,4.22,1.1599999999999997,50,50
scenario,ODP,ODP__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_direct_mean,2.62,2.54,0.08000000000000007,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_nonnull_rate,0.3,0.62,0.32,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_nonnull_rate,1.0,0.56,0.43999999999999995,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,TGSender_decision_nonnull_rate,0.98,0.34,0.6399999999999999,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_nonnull_rate,0.38,0.38,0.0,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,PD_decision_nonnull_rate,0.3,0.6,0.3,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,SH_decision_nonnull_rate,0.64,0.7,0.05999999999999994,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,C_decision_nonnull_rate,0.6,0.44,0.15999999999999998,50,50
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_direct_mean,4.666666666666667,4.870967741935484,0.20430107526881702,15,31
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_direct_mean,3.06,3.7142857142857144,0.6542857142857144,50,28
scenario,ODU,ODU__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_direct_mean,2.8947368421052633,2.3157894736842106,0.5789473684210527,19,19
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,TGSender_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,PD_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,SH_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,C_decision_nonnull_rate,1.0,1.0,0.0,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,UGProposer_decision_direct_mean,4.64,4.7,0.0600000000000005,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,UGResponder_decision_direct_mean,3.04,3.98,0.94,50,50
scenario,ODU,ODU__NoAISupport__Opaque,NoAISupport,Opaque,TGReceiver_decision_direct_mean,2.82,2.46,0.3599999999999999,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_nonnull_rate,0.26,0.72,0.45999999999999996,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_nonnull_rate,0.98,0.68,0.29999999999999993,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGSender_decision_nonnull_rate,0.98,0.58,0.4,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,TGReceiver_decision_nonnull_rate,0.42,0.62,0.2,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,PD_decision_nonnull_rate,0.24,0.72,0.48,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,SH_decision_nonnull_rate,0.56,0.76,0.19999999999999996,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,C_decision_nonnull_rate,0.66,0.48,0.18000000000000005,50,50
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGProposer_decision_direct_mean,4.3076923076923075,5.055555555555555,0.7478632478632479,13,36
scenario,TDP,TDP__AISupport__AgainstHuman,AISupport,AgainstHuman,UGResponder_decision_direct_mean,3.163265306122449,3.8529411764705883,0.6896758703481392,49,34
